id,name,city,address,price_per_night,rating,phone,website
1,Horizon Mekong Suites,Hà Nội,"72 Bạch Đằng, Hà Nội",887578,4.3,037047912,www.horizon-mekong-suites.com
2,Grand Nha Trang House,Hà Nội,"14 Hoàng Văn Thụ, Hà Nội",790939,3.9,073258359,www.grand-nha-trang-house.vn
3,Golden Hotel Hue,Hà Nội,"175 Cách Mạng Tháng Tám, Hà Nội",494274,3.2,031947224,www.golden-hotel-hue.com
4,Mountain Lodge Hanoi,Hà Nội,"275 Nguyễn Thị Minh Khai, Hà Nội",526572,2.8,024-500-6925,www.mountain-lodge-hanoi.vn
5,Pearl Hotel Nha Trang,Hà Nội,"41 Hai Bà Trưng, Hà Nội",1033856,4.6,024-664-6977,www.pearl-hotel-nha-trang.com
6,Mountain Mekong Resort,Hà Nội,"88 Hoàng Văn Thụ, Hà Nội",637005,3.8,024-476-4598,www.mountain-mekong-resort.vn
7,Ocean Hotel Nha Trang,Hà Nội,"162 Đồng Khởi, Hà Nội",525885,3.5,083179179,www.ocean-hotel-nha-trang.com.vn
8,Horizon Mekong Inn,Hà Nội,"288 Bạch Đằng, Hà Nội",771997,3.8,024-797-7543,www.horizon-mekong-inn.com.vn
9,Imperial Inn Sunset,Hà Nội,"47 Lê Duẩn, Hà Nội",974663,4.4,024-363-7916,www.imperial-inn-sunset.vn
10,Majestic Bamboo House,Hà Nội,"284 Lê Lợi, Hà Nội",758878,4.7,088876573,www.majestic-bamboo-house.com
11,Silver Bamboo Hotel,Hà Nội,"257 Lê Lợi, Hà Nội",859307,4.4,024-840-5889,www.silver-bamboo-hotel.vn
12,Palm Inn Saigon River,Hà Nội,"277 Phan Chu Trinh, Hà Nội",1140959,4.9,086001319,www.palm-inn-saigon-river.com
13,Mountain Lodge Nha Trang,Hà Nội,"124 Đồng Khởi, Hà Nội",1091156,4.7,024-697-2133,www.mountain-lodge-nha-trang.vn
14,Sunrise Mekong Breeze House,Hà Nội,"136 Phan Chu Trinh, Hà Nội",734252,3.8,098306107,www.sunrise-mekong-breeze-house.com.vn
15,Horizon Sunset Palace,Hà Nội,"127 Nguyễn Huệ, Hà Nội",496558,3.1,024-435-4608,www.horizon-sunset-palace.com
16,Majestic Hotel Nha Trang,Hà Nội,"17 Trần Phú, Hà Nội",758888,4.6,024-885-8953,www.majestic-hotel-nha-trang.com
17,Emerald Rice Field Palace,Hà Nội,"243 Bạch Đằng, Hà Nội",777977,4.5,024-641-6804,www.emerald-rice-field-palace.com.vn
18,Metro Hanoi Resort,Hà Nội,"207 Đồng Khởi, Hà Nội",926827,4.3,024-396-4116,www.metro-hanoi-resort.vn
19,Central Hue Lodge,Hà Nội,"128 Nguyễn Thị Minh Khai, Hà Nội",781576,4.7,031519856,www.central-hue-lodge.com
20,Majestic Suites Hue,Hà Nội,"249 Cách Mạng Tháng Tám, Hà Nội",774917,3.7,094881035,www.majestic-suites-hue.com.vn
21,Golden Palace Mango,Hà Nội,"285 Cách Mạng Tháng Tám, Hà Nội",802305,4.2,024-422-1958,www.golden-palace-mango.vn
22,Emerald Lotus Hotel,Hà Nội,"300 Đồng Khởi, Hà Nội",789105,3.7,024-258-9320,www.emerald-lotus-hotel.com
23,Lotus Danang Suites,Hà Nội,"62 Nguyễn Trãi, Hà Nội",1008886,4.9,024-240-2343,www.lotus-danang-suites.com.vn
24,Sky Lotus Lodge,Hà Nội,"161 Hùng Vương, Hà Nội",508190,3.1,085686180,www.sky-lotus-lodge.com
25,Grand Rice Field Resort,Hà Nội,"276 Trần Phú, Hà Nội",458918,3.0,033507054,www.grand-rice-field-resort.com.vn
26,Lotus Seaside Lodge,Hà Nội,"271 Hoàng Văn Thụ, Hà Nội",423662,2.5,024-879-2697,www.lotus-seaside-lodge.com
27,Golden Halong House,Hà Nội,"140 Điện Biên Phủ, Hà Nội",493284,3.2,024-903-5325,www.golden-halong-house.vn
28,Garden Hanoi Resort,Hà Nội,"142 Cách Mạng Tháng Tám, Hà Nội",377634,2.6,024-468-3647,www.garden-hanoi-resort.vn
29,Central Monsoon House,Hà Nội,"58 Lý Thường Kiệt, Hà Nội",490922,2.7,039547049,www.central-monsoon-house.vn
30,Emerald Phu Quoc Hotel,Hà Nội,"187 Hai Bà Trưng, Hà Nội",1037582,4.7,083155088,www.emerald-phu-quoc-hotel.vn
31,Riverside Seaside Apartments,Hà Nội,"80 Hoàng Văn Thụ, Hà Nội",861561,4.8,024-381-7755,www.riverside-seaside-apartments.com
32,Lotus Villa Monsoon,Hà Nội,"137 Bạch Đằng, Hà Nội",515513,2.9,024-239-8711,www.lotus-villa-monsoon.com
33,Pearl Palace Saigon River,Hà Nội,"117 Hai Bà Trưng, Hà Nội",561462,3.1,024-485-2137,www.pearl-palace-saigon-river.com.vn
34,Mountain Apartments Seaside,Hà Nội,"15 Trần Hưng Đạo, Hà Nội",534885,2.8,024-471-1626,www.mountain-apartments-seaside.com
35,Lotus Lotus Apartments,TP. Hồ Chí Minh,"262 Hoàng Văn Thụ, TP. Hồ Chí Minh",522634,2.8,028-245-8144,www.lotus-lotus-apartments.com
36,Palm House Da Lat,TP. Hồ Chí Minh,"221 Quang Trung, TP. Hồ Chí Minh",455203,2.7,028-521-3041,www.palm-house-da-lat.vn
37,Silver Monsoon Villa,TP. Hồ Chí Minh,"152 Nguyễn Trãi, TP. Hồ Chí Minh",645008,3.9,077933851,www.silver-monsoon-villa.vn
38,Sky Seaside Hotel,TP. Hồ Chí Minh,"147 Hai Bà Trưng, TP. Hồ Chí Minh",558865,3.0,085768238,www.sky-seaside-hotel.com.vn
39,Pearl Hue Resort,TP. Hồ Chí Minh,"264 Hai Bà Trưng, TP. Hồ Chí Minh",843036,4.2,028-969-4848,www.pearl-hue-resort.vn
40,Silver Da Lat Inn,TP. Hồ Chí Minh,"24 Lý Thường Kiệt, TP. Hồ Chí Minh",524187,3.1,035667790,www.silver-da-lat-inn.vn
41,Sky Azure Palace,TP. Hồ Chí Minh,"125 Nguyễn Trãi, TP. Hồ Chí Minh",513022,2.9,038977965,www.sky-azure-palace.com
42,Lotus House Bamboo,TP. Hồ Chí Minh,"286 Đồng Khởi, TP. Hồ Chí Minh",599424,3.1,028-675-9702,www.lotus-house-bamboo.vn
43,Lotus Bamboo House,TP. Hồ Chí Minh,"281 Cách Mạng Tháng Tám, TP. Hồ Chí Minh",570125,3.6,073655050,www.lotus-bamboo-house.vn
44,Golden House Mekong Breeze,TP. Hồ Chí Minh,"141 Bạch Đằng, TP. Hồ Chí Minh",708500,3.6,028-543-6238,www.golden-house-mekong-breeze.vn
